Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
RMO,Romeo Power Inc,12.8,4.78,59.60%,13.64,8.41,205194200,17318320,4/6/2021
GALT,Galectin Therapeutic,2.8,0.73,35.27%,3.27,2.05,18215900,1095795,4/6/2021
SJ,Scienjoy Holding Corp,12.49,3.18,34.16%,18.5,11.78,49382504,2476600,4/6/2021
BTX,Brooklyn Immunotherapeutics Inc,6.07,1.4,29.98%,8.53,5.8,44567700,N/A,4/6/2021
GBOX,Greenbox Pos,19.9,4.42,28.55%,19.9,16.11,4078100,654615,4/6/2021
EYES,Second Sight,9.43,2.03,27.43%,10.67,7.4,53863699,18207295,4/6/2021
TH,Target Hospitality Corp,3.23,0.63,24.23%,3.75,2.6,27016199,1857870,4/6/2021
RAIL,Freightcar America,7.79,1.45,22.87%,7.84,6.07,7831000,5478105,4/6/2021
BBQ,Bbq Holdings Inc,11.1,2.03,22.38%,12.45,9.54,733400,72930,4/6/2021
INVZW,,2.9,0.53,22.36%,3.46,2.37,61500,75165,4/6/2021
NTZ,Natuzzi S.P.A.,15,2.5,20.00%,15.89,12.13,128700,15585,4/6/2021
CIX,Compx International Inc,20.88,3.47,19.93%,21.69,17.44,88900,31355,4/6/2021
PAVM,Pavmed Inc,6.24,1.03,19.67%,6.52,5.33,20550000,4653895,4/6/2021
HPK,Highpeak Energy Inc,7.89,1.24,18.65%,8.45,7.15,798000,372790,4/6/2021
GLSI,Greenwich Lifesciences Inc,50,7.61,17.95%,58.5,45,3611100,651575,4/6/2021
MVO,Mv Oil Trust,5.2,0.74,16.59%,5.41,4.91,510000,63640,4/6/2021
MUDS,Mudrick Capital Acquisition Corporation II Cl A,11.5,1.6,16.16%,11.75,10.73,38885301,2030610,4/6/2021
FENC,Fennec Pharmaceuticals Inc,6.93,0.94,15.69%,6.97,5.93,1213800,145930,4/6/2021
GTBP,GT Biopharma Inc,9.5,1.26,15.29%,10.34,8.41,4065000,822080,4/6/2021
ADTX,Aditx Therapeutics Inc,2.92,0.38,14.96%,2.92,2.65,551900,320945,4/6/2021
RCON,Recon Technology Ltd,5.6,0.71,14.52%,5.88,4.71,1968900,2107010,4/6/2021
CARA,Cara Therapeutics,27.15,3.33,13.98%,28.25,26.31,9413101,910475,4/6/2021
GSX,Gsx Techedu Inc ADR,32.75,3.99,13.87%,34.18,28.82,25707200,17433230,4/6/2021
ACY,Aerocentury Corp,13,1.53,13.34%,16,11.34,30334500,11471359,4/6/2021
BWEN,Broadwind Energy Inc,6.41,0.75,13.25%,6.43,5.71,1091900,931185,4/6/2021
SPNE,Seaspine Holdings,20.39,2.37,13.15%,21.75,18.84,387300,96310,4/6/2021
VLDR,Velodyne Lidar Inc.,14.29,1.59,12.52%,14.39,12.8,4982600,5048420,4/6/2021
GNOG,Golden Nugget Online Gaming Inc,15.48,1.69,12.26%,15.87,14.6,3636400,2108240,4/6/2021
KELYB,Kelly Services Inc Cl B,39,4.2,12.07%,48.76,36.3,241800,59500,4/6/2021
XL,XL Fleet Corp,8.36,0.87,11.62%,8.76,7.22,22827500,7780855,4/6/2021
GBR,New Concept Energy Inc,5.2,0.52,11.11%,6.15,4.79,5619100,2179360,4/6/2021
HBIO,Harvard Bioscience,6.4,0.64,11.11%,6.49,5.66,373500,390265,4/6/2021
SLS,Sellas Life Sciences Group Inc,9.81,0.98,11.10%,10.86,8.86,2129400,743890,4/6/2021
JWEL,Jowell Global Ltd,8.55,0.85,11.04%,8.55,7.55,429800,N/A,4/6/2021
INVZ,,10.79,1.04,10.67%,11.27,10.17,1887700,645220,4/6/2021
JOAN,Joann Inc,12.15,1.16,10.56%,12.19,11.16,2323000,N/A,4/6/2021
CHPT,Chargepoint Hldgs Inc,31.09,2.95,10.48%,32.47,27.21,15893300,8144195,4/6/2021
TOUR,Tuniu Corporatio Ads,3.75,0.35,10.29%,3.8,3.36,658300,1755740,4/6/2021
NMM,Navios Maritime Partners LP,24.99,2.31,10.19%,24.99,23.14,668600,513140,4/6/2021
PSAC,Property Solutions Acquisition Corp,13.63,1.24,10.01%,14.14,13.27,3091500,950015,4/6/2021
ISUN,Sun Inc,16,1.45,9.97%,16.01,14.45,707200,737590,4/6/2021
NRT,North European Oil Royality Trust,4.75,0.43,9.95%,4.96,4.55,127200,34760,4/6/2021
IQ,Iqiyi Inc ADR,18.68,1.69,9.95%,19,17.21,31818398,31088789,4/6/2021
ROKU,Roku Inc,359.37,31.08,9.47%,363.08,331.4,7272600,3759500,4/6/2021
REPH,Recro Pharma Inc,3.25,0.28,9.43%,3.28,2.96,310100,335895,4/6/2021
GOEV,Canoo Inc,9.26,0.79,9.33%,9.4,8.32,7927700,9025350,4/6/2021
NM,Navios Maritime Holdings Inc,9.98,0.85,9.31%,10.46,8.81,302000,516720,4/6/2021
VOLT,Volt Information Services Inc,4.5,0.37,8.96%,4.5,4.15,506000,228000,4/6/2021
WWR,Westwater Resources,5.6,0.46,8.95%,5.64,5.12,2314600,3593200,4/6/2021
CLPR,Clipper Realty Inc,8.85,0.69,8.46%,8.97,8.21,217800,106860,4/6/2021
GSIT,Gsi Technology Inc,7.55,0.58,8.32%,7.57,7.05,131800,110350,4/6/2021
WHLR,Wheeler Real Estate,4.05,0.31,8.29%,4.16,3.69,162600,220090,4/6/2021
TIGR,Up Fintech Holding Ltd ADR,18.41,1.41,8.29%,19.12,16.15,8439500,9735405,4/6/2021
EH,Ehang Holdings Ltd Ads,37.46,2.86,8.27%,37.9,33.38,1538800,2564525,4/6/2021
MMLP,Martin Midstrm LP,2.63,0.2,8.23%,2.65,2.44,311700,409915,4/6/2021
GRBK,Green Brick Partners,26.73,2.03,8.22%,27.4,24.87,3609600,1481250,4/6/2021
RVLV,Revolve Group Inc,47.31,3.53,8.06%,48.81,43.4,906200,1132595,4/6/2021
VOC,Voc Energy Trust,3.63,0.27,8.04%,3.64,3.39,149300,141995,4/6/2021
LABP,Landos Biopharma Inc,10,0.74,7.99%,10.27,9.33,199500,162760,4/6/2021
KERN,Akerna Corp Cl A,5.18,0.38,7.92%,5.19,4.83,597100,2085340,4/6/2021
ILMN,Illumina Inc,414.84,30.3,7.88%,426.44,412.99,3178300,1349885,4/6/2021
KLDO,Kaleido Biosciences Inc,8.72,0.63,7.79%,8.83,8.1,311300,249415,4/6/2021
PLG,Platinum Group Metals Ltd,4.23,0.3,7.63%,4.23,3.95,854300,540795,4/6/2021
UAN,Cvr Partners LP,49.89,3.53,7.61%,49.9,45.88,90700,89730,4/6/2021
DAO,Youdao Inc ADR,26.23,1.84,7.54%,26.6,24.72,203200,615445,4/6/2021
PDSB,Pds Biotechnology Corp,5.01,0.35,7.51%,5.12,4.6,625900,2852055,4/6/2021
EARS,Auris Medical,3.32,0.23,7.44%,3.53,3.08,5377700,4845820,4/6/2021
MDXG,Mimedx Group Inc,12.18,0.84,7.41%,12.24,11.12,1294800,636515,4/6/2021
XELA,Exela Technologies Inc,2.34,0.16,7.34%,2.5,2.16,3158700,33478703,4/6/2021
YJ,Yunji Inc,2.21,0.15,7.28%,2.22,2.06,255400,606750,4/6/2021
ESTC,Elastic N.V.,121.31,8.06,7.12%,122.04,111.5,1959100,1199715,4/6/2021
BLU,Bellus Health Inc,4.08,0.27,7.09%,4.09,3.79,530400,647390,4/6/2021
ALLT,Allot Communications,18.29,1.21,7.08%,18.44,17.25,429900,221470,4/6/2021
ZCMD,Zhongchao Inc Cl A,2.12,0.14,7.07%,2.25,1.96,689800,7378885,4/6/2021
KIDS,Orthopediatrics Corp,52.3,3.42,7.00%,52.78,49.33,239300,216435,4/6/2021
AEHL,Antelope Enterprise Hldg Ltd,3.37,0.22,6.98%,3.65,3.25,890900,1842430,4/6/2021
SFIX,Stitch Fix Inc,51.58,3.35,6.95%,53.65,49.36,3300300,3250525,4/6/2021
AREC,American Resources Corp,3.87,0.25,6.91%,3.93,3.52,1710100,6362020,4/6/2021
KRNT,Kornit Digital Ord,108.02,6.92,6.84%,109.76,100.53,351300,286935,4/6/2021
SNCY,Sun Country Airlines Holdings Inc,37.21,2.38,6.82%,37.7,34.42,474300,N/A,4/6/2021
DDOG,Datadog Inc Cl A,88.89,5.65,6.79%,89.99,82.92,4486200,4033435,4/6/2021
LVTX,Lava Therapeutics Bv,15.75,1,6.78%,15.98,14.05,129400,N/A,4/6/2021
REFR,Research Frontiers,3.03,0.19,6.69%,3.15,2.83,123700,153760,4/6/2021
TAL,Tal Education Group,58.45,3.64,6.64%,59.06,55.01,4914700,7221700,4/6/2021
OCFT,Oneconnect Financial Technology Co. Ltd America,15.73,0.97,6.57%,15.87,14.57,216900,386170,4/6/2021
GIFI,Gulf Island Fab,4.22,0.26,6.57%,4.25,4,89000,64080,4/6/2021
PHAT,Phathom Pharmaceuticals Inc,38.18,2.35,6.56%,38.46,34.12,160800,106365,4/6/2021
GMBL,Esports Entertainment Group Inc,17.11,1.04,6.47%,17.78,15.83,1438600,1364170,4/6/2021
LIVX,Livexlive Media Inc,4.48,0.27,6.41%,4.7,4.15,2570100,3621665,4/6/2021
ONCY,Oncolytics Biotech Inc,4.19,0.25,6.35%,4.33,3.91,1740800,1934270,4/6/2021
CCIV,Churchill Capital IV [Lucid Motors],24.46,1.46,6.35%,24.96,23.02,19839900,24811895,4/6/2021
PLBY,Plby Group Inc,29.7,1.77,6.34%,33.49,26.05,7510600,1369075,4/6/2021
BLNK,Blink Charging Company,42.94,2.56,6.34%,43.67,38.83,4394000,5045445,4/6/2021
YVR,Liquid Media Group Ltd,4.04,0.24,6.32%,4.22,3.67,3799500,28372234,4/6/2021
SVM,Silvercorp Metals Inc,5.42,0.32,6.27%,5.5,5.16,1826300,1284095,4/6/2021
NGL,Ngl Energy Partners LP,2.21,0.13,6.25%,2.23,2.08,2028800,4075105,4/6/2021
BKD,Brookdale Senior Living Inc,6.69,0.39,6.19%,6.74,6.32,2583900,2019680,4/6/2021
DLPN,Dolphin Entertainment Inc,12.69,0.74,6.19%,13.25,11.68,1979100,13648771,4/6/2021
YQ,17 Education & Technology Group Inc ADR,7.41,0.43,6.16%,7.43,6.82,740000,1655885,4/6/2021
OBLN,Obalon Therapeutics Inc,3.11,0.18,6.14%,3.34,2.87,1172100,1083130,4/6/2021
MNRL,Brigham Minerals Inc,15.69,0.9,6.09%,15.78,14.99,463100,511505,4/6/2021
KBNT,Kubient Inc,7.52,0.43,6.06%,8.17,6.91,808000,780360,4/6/2021
KIN,Kindred Biosciences,5.45,0.31,6.03%,5.72,5.06,674600,523595,4/6/2021
EAR,Eargo Inc,54.95,3.12,6.02%,56.72,50.19,289400,288425,4/6/2021
IHT,Innsuites Hospitality Trust,2.67,0.15,5.95%,2.74,2.43,249600,60195,4/6/2021
TME,Tencent Music Entertainment ADR,20.16,1.13,5.94%,20.57,19.37,52670100,69767391,4/6/2021
OXSQ,Oxford Square Capital Corp,5,0.28,5.93%,5.04,4.74,618700,351800,4/6/2021
DRIO,Dario Health Corp,19.13,1.07,5.92%,20.2,17.85,441400,364875,4/6/2021
CSPR,Casper Sleep Inc,7.7,0.43,5.91%,7.85,7.27,442800,454705,4/6/2021
MAG,MAG Silver Corp,16.79,0.93,5.86%,17,16.1,841100,856310,4/6/2021
VIPS,Vipshop Holdings Ltd,31.5,1.72,5.78%,32.21,29.28,24851500,26730115,4/6/2021
PTON,Peloton Interactive Inc,115.38,6.29,5.77%,117.45,108.28,7403200,7710090,4/6/2021
OPRA,Opera Ltd ADR,10.85,0.59,5.75%,10.96,9.98,289800,191620,4/6/2021
ESTA,Establishment Labs Holdings Inc,71.31,3.86,5.72%,73.51,66.15,198600,117310,4/6/2021
