Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
BTX,Brooklyn Immunotherapeutics Inc,9.79,2.1,27.31%,10.95,7.5,6183498,N/A,4/20/2021
SQBG,Sequential Brands,18.66,3.37,22.04%,19.49,15.5,291981,60054,4/20/2021
PLAG,Planet Green Holdings Corp,2.4,0.41,20.60%,2.4,1.91,449081,61329,4/20/2021
SRNGW,Soaring Eagle Acquisition Corp. WT,2.9,0.43,17.41%,3,2.01,780347,N/A,4/20/2021
SUMR,Summer Infant Inc,10.83,1.48,15.83%,11.6,9.35,109700,96805,4/20/2021
KSU,Kansas City Southern,295.5,39.1,15.25%,299.52,290.99,7572797,1959670,4/20/2021
PPBT,Purple Biotech Ltd,4.36,0.53,13.84%,4.4,3.83,1053336,336442,4/20/2021
SMED,Sharps Compliance,15.36,1.83,13.53%,15.45,13.44,592522,113416,4/20/2021
MOXC,Moxian Inc,5.27,0.62,13.33%,5.41,4.72,2526734,1783352,4/20/2021
TIPT,Tiptree Fncl Cl A,11.21,1.21,12.10%,11.56,10.04,2249446,274462,4/20/2021
ASTS,Ast Spacemobile Inc,8.01,0.86,12.03%,8.25,7.2,2647322,1604351,4/20/2021
CVM,Cel-Sci Corp,18.71,1.94,11.57%,18.79,16.47,1182276,894419,4/20/2021
MYMD,Mymd Pharmaceuticals Inc,4.95,0.48,10.86%,7.89,4.6,14401880,881881,4/20/2021
AREC,American Resources Corp,3.15,0.28,9.76%,3.19,2.75,1436567,1521988,4/20/2021
TDUP,Thredup Inc Cl A,16.65,1.39,9.11%,17.79,15.41,1910283,N/A,4/20/2021
SOS,Sos Ltd,4.32,0.35,8.82%,4.47,3.54,76993008,66467797,4/20/2021
ENOB,Enochian Biosciences Inc,3.34,0.27,8.79%,3.38,3.08,199861,563053,4/20/2021
CBD,Companhia Brasileira DE Distribuicao,7.03,0.55,8.49%,7.04,6.73,1993296,2902220,4/20/2021
UONE,Urban One Inc,5.25,0.41,8.47%,5.36,4.68,1100216,338401,4/20/2021
PHX,Phx Minerals Inc,2.18,0.16,7.92%,2.28,1.99,2154288,339559,4/20/2021
ALGS,Aligos Therapeutics Inc,23.23,1.69,7.85%,23.58,19.68,61010,57195,4/20/2021
NNDM,Nano Dimension Ads,7.14,0.5,7.53%,7.79,6.87,68252367,18863863,4/20/2021
CYCN,Cyclerion Therapeutics Inc,2.61,0.18,7.41%,2.63,2.4,452616,365071,4/20/2021
LPTH,Lightpath Tech Inc,2.82,0.19,7.22%,2.87,2.6,336005,265010,4/20/2021
FGEN,Fibrogen Inc CS,20.35,1.35,7.13%,20.38,18.77,2445074,2927879,4/20/2021
VRCA,Verrica Pharmaceuticals Inc,13.58,0.89,7.01%,13.81,12.16,133070,145313,4/20/2021
BLPH,Bellerophon Ther Com,4.67,0.3,6.86%,4.7,4.22,107594,78085,4/20/2021
OBLN,Obalon Therapeutics Inc,2.65,0.17,6.85%,3.14,2.53,22796295,1748955,4/20/2021
CYTH,Cyclo Therapeutics Inc,7.02,0.44,6.69%,7.12,6.51,186277,557189,4/20/2021
TKAT,Takung Art CO Ltd,19.05,1.19,6.66%,23.89,17.22,6764509,3495521,4/20/2021
DLPN,Dolphin Entertainment Inc,8.68,0.53,6.50%,9.84,8.2,2267678,14418864,4/20/2021
EDU,New Oriental Education & Technology Group,16.16,0.98,6.46%,16.88,15.41,31349645,18742508,4/20/2021
PIRS,Pieris Pharma,2.31,0.14,6.45%,2.36,2.13,921303,856740,4/20/2021
NRBO,Neurobo Pharmaceuticals Inc,3.32,0.2,6.41%,3.46,3.13,119813,168261,4/20/2021
GIFI,Gulf Island Fab,4.19,0.25,6.35%,4.21,4.05,171772,77724,4/20/2021
MBIO,Mustang Bio Inc,3.02,0.18,6.34%,3.05,2.82,2043185,2047824,4/20/2021
PGEN,Precigen Inc,7.84,0.46,6.23%,7.94,7.34,1311033,1142947,4/20/2021
KROS,Keros Therapeutics Inc,61.25,3.55,6.15%,61.51,57.2,82378,144894,4/20/2021
ITOS,Iteos Therapeutics Inc,22.28,1.26,5.99%,22.71,20.72,173439,310062,4/20/2021
KRMD,Repro Med Sys Inc,3.02,0.17,5.96%,3.06,2.8,218345,283777,4/20/2021
AESE,Allied Esports Entertainment Inc,2.49,0.14,5.96%,2.52,2.24,1519353,3159938,4/20/2021
FRGI,Fiesta Restaurant Gp,14.12,0.78,5.85%,14.16,13.25,136123,93036,4/20/2021
CRSP,Crispr Therapeutics Ag,121.67,6.63,5.76%,125.48,117.38,2621195,1457110,4/20/2021
PETQ,Petiq Inc Cl A,41.39,2.25,5.75%,42.13,39.1,706557,287783,4/20/2021
MGNX,Macrogenics,33.66,1.79,5.62%,33.9,31.6,957443,634907,4/20/2021
WRAP,Wrap Technologies Inc,5.28,0.28,5.60%,5.5,4.83,2972037,622012,4/20/2021
VOLT,Volt Information Services Inc,3.8,0.2,5.56%,3.86,3.57,81120,211176,4/20/2021
PRLD,Prelude Therapeutics Incorporated,33.22,1.74,5.53%,33.62,30.86,173500,263090,4/20/2021
SIGA,Siga Technologies Inc,7.57,0.39,5.50%,7.62,7.19,473854,348688,4/20/2021
AGFS,Agrofresh Solutions,2.16,0.11,5.37%,2.16,2.04,114981,117814,4/20/2021
XXII,22nd Century Group Inc,3.74,0.19,5.35%,3.96,3.48,12296614,2911281,4/20/2021
CPLP,Capital Product Part,11.83,0.59,5.25%,11.84,11.05,179199,74585,4/20/2021
ONCY,Oncolytics Biotech Inc,3.02,0.15,5.23%,3.02,2.79,920462,2550773,4/20/2021
OCDX,Ortho Clinical Diagnostics Plc,19.1,0.95,5.23%,19.14,17.75,1348733,1000342,4/20/2021
EYES,Second Sight,7.34,0.36,5.16%,8.14,6.83,3611877,6548354,4/20/2021
NLSP,Nls Pharmaceutics Ltd,3.06,0.15,5.15%,3.2,2.84,249415,511151,4/20/2021
STCN,Steel Connect Inc,2.08,0.1,5.05%,2.18,1.91,804677,296134,4/20/2021
NCTY,The9 Ltd,19.38,0.92,4.98%,19.75,17.78,1327107,2976805,4/20/2021
ADCT,Adc Therapeutics Sa,22.97,1.07,4.89%,23.11,21.16,421519,314601,4/20/2021
CANF,Can-Fite Biopharma Ltd,2.18,0.1,4.81%,2.21,2.06,360730,435452,4/20/2021
CTMX,Cytomx Thera,7.96,0.36,4.74%,8,7.43,648738,910942,4/20/2021
AEI,Alset Ehome Intl Inc,9.75,0.44,4.73%,10.7,9.02,1195840,1118047,4/20/2021
KYMR,Kymera Therapeutics Inc,39.84,1.8,4.73%,39.95,37.02,331022,447786,4/20/2021
DRNA,Dicerna Pharmaceutic,30.46,1.37,4.71%,30.92,28.9,699122,711306,4/20/2021
NVRO,Nevro Corp,155.32,6.97,4.70%,155.96,148.3,815332,409102,4/20/2021
DTIL,Precision Biosciences Inc,8.51,0.38,4.67%,8.55,7.96,605258,658403,4/20/2021
ATHA,Athira Pharma Inc,17.42,0.77,4.62%,17.68,16.36,332567,258893,4/20/2021
RRD,Donnelley R.R. & Sons Company,5.21,0.23,4.62%,5.24,4.9,2019984,953079,4/20/2021
LCTX,Lineage Cell Therapeutics Inc,2.28,0.1,4.59%,2.41,2.19,1764616,960616,4/20/2021
CMCL,Caledonia Mining Cp,14.94,0.65,4.55%,15.27,13.94,228725,101396,4/20/2021
FSR,Fisker Inc,12.93,0.56,4.53%,14.59,12.62,82785594,14090390,4/20/2021
EVAX,Evaxion Biotech A/S ADR,7.16,0.31,4.53%,7.2,6.56,114544,127777,4/20/2021
MGTX,Meiragtx Holdings Plc,13.93,0.6,4.50%,14.02,13.02,67871,82509,4/20/2021
AMBO,Ambow Education Holding Ltd,2.56,0.11,4.49%,2.62,2.2,6025542,10048616,4/20/2021
AGEN,Agenus Inc,2.67,0.12,4.49%,2.7,2.5,2842927,3876486,4/20/2021
BNTX,Biontech Se ADR,156.18,6.7,4.48%,157.3,140.81,3217804,2386900,4/20/2021
VYGR,Voyager Therapeut,4.67,0.2,4.47%,4.68,4.43,305718,413376,4/20/2021
ALOT,Astronova Inc,17.08,0.73,4.46%,17.64,16.35,89074,49284,4/20/2021
BBIG,Vinco Ventures Inc,2.12,0.09,4.43%,2.26,2.04,558100,4858330,4/20/2021
LQDA,Liquidia Corp,2.83,0.12,4.43%,2.9,2.64,688393,778480,4/20/2021
CRT,Cross Timbers Royalty Trust,9.21,0.39,4.42%,9.25,8.85,66596,25785,4/20/2021
PLBY,Plby Group Inc,35.75,1.5,4.38%,36.48,31.6,3448085,3590869,4/20/2021
CIG,Comp En DE MN Cemig ADR,2.39,0.1,4.37%,2.44,2.32,14648738,19658162,4/20/2021
BCYC,Bicycle Therapeutics Plc ADR,29.32,1.22,4.34%,30.05,27.5,58721,213486,4/20/2021
YVR,Liquid Media Group Ltd,2.67,0.11,4.30%,3.02,2.54,33631324,20278586,4/20/2021
GBIO,Generation Bio CO,30.09,1.24,4.30%,30.35,28.48,1043676,527464,4/20/2021
HOG,Harley-Davidson Inc,46.19,1.9,4.29%,47.53,44.6,6846553,2996043,4/20/2021
GSX,Gsx Techedu Inc ADR,27.84,1.14,4.27%,28.09,25.55,11552727,21530982,4/20/2021
MDGL,Madrigal Pharmaceuticals Inc,126.33,5.14,4.24%,127.9,119.69,149446,130247,4/20/2021
MTA,Metalla Royalty and Streaming Ltd,9.25,0.37,4.17%,9.25,8.9,247358,199273,4/20/2021
LRMR,Larimar Therapeutics Inc,10.3,0.41,4.15%,10.59,9.9,114103,80205,4/20/2021
DLA,Delta Apparel,28.11,1.12,4.15%,28.5,26.51,92040,23612,4/20/2021
ENPH,Enphase Energy Inc,147,5.86,4.15%,147.75,140.85,2697465,2528883,4/20/2021
TPIC,Tpi Composites Inc,50.71,2.01,4.13%,50.87,47.96,759930,923447,4/20/2021
GTBP,GT Biopharma Inc,9.58,0.38,4.13%,9.8,8.41,562702,728800,4/20/2021
OCG,Oriental Culture Holding Ltd,5.05,0.2,4.12%,5.98,4.86,8261756,3283048,4/20/2021
OCUP,Ocuphire Pharma Inc,4.56,0.18,4.11%,4.74,4.3,342989,664329,4/20/2021
KNSA,Kiniksa Pharmaceuticals Ltd,16.1,0.63,4.07%,16.1,15.28,468718,581851,4/20/2021
SJT,San Juan Basin Royalty Trust,4.51,0.17,3.92%,4.83,4.46,1108993,132050,4/20/2021
PSTI,Pluristem Therapeutc,4.26,0.16,3.90%,4.28,4.03,311783,307764,4/20/2021
BWMX,Betterware DE Mexico Da DE Cv,40.51,1.51,3.87%,40.94,39.12,108854,54333,4/20/2021
IBM,International Business Machines,138.16,5.04,3.79%,139.77,136.7,15476523,5380036,4/20/2021
STRR,Star Equity Hldgs Inc,2.76,0.1,3.76%,2.79,2.67,242196,269285,4/20/2021
MAN,Manpower Inc,113.2,4.1,3.76%,115.02,111.11,752147,349352,4/20/2021
HRTX,Heron Therapeutics,17.78,0.63,3.67%,17.91,16.97,1012359,1033928,4/20/2021
SYRS,Syros Pharmaceuticals,6.08,0.21,3.58%,6.15,5.76,1031108,722960,4/20/2021
GSS,Golden Star Resources Ltd,3.49,0.12,3.56%,3.5,3.34,331053,568718,4/20/2021
ELOX,Eloxx Pharmaceuticals Inc,2.38,0.08,3.48%,2.4,2.12,136580,107284,4/20/2021
